follower_id,link,followee_id
ibfci,https://www.threads.net/@hori_koshi7,hori_koshi7
ibfci,https://www.threads.net/@iwbel__,iwbel__
ibfci,https://www.threads.net/@bringmethehorizon,bringmethehorizon
ibfci,https://www.threads.net/@sebastiandanzig,sebastiandanzig
ibfci,https://www.threads.net/@pshetc_00,pshetc_00
ibfci,https://www.threads.net/@hammysoda,hammysoda
ibfci,https://www.threads.net/@musictree_101,musictree_101
ibfci,https://www.threads.net/@prattprattpratt,prattprattpratt
ibfci,https://www.threads.net/@uning_xx____,uning_xx____
ibfci,https://www.threads.net/@arinpaper,arinpaper
ibfci,https://www.threads.net/@davidbowie,davidbowie
ibfci,https://www.threads.net/@artistscar_,artistscar_
ibfci,https://www.threads.net/@bowierecords,bowierecords
ibfci,https://www.threads.net/@e_.eevee,e_.eevee
ibfci,https://www.threads.net/@davidbowienews,davidbowienews
ibfci,https://www.threads.net/@blanc_bin,blanc_bin
jjxxey,https://www.threads.net/@ju.madam_,ju.madam_
jjxxey,https://www.threads.net/@blueice8152,blueice8152
jjxxey,https://www.threads.net/@c_cvvtop,c_cvvtop
jjxxey,https://www.threads.net/@jaebin1ee,jaebin1ee
jjxxey,https://www.threads.net/@seori.ss,seori.ss
jjxxey,https://www.threads.net/@woochamp,woochamp
jjxxey,https://www.threads.net/@vuare_h,vuare_h
jjxxey,https://www.threads.net/@letsrocky_,letsrocky_
jjxxey,https://www.threads.net/@kwidory,kwidory
jjxxey,https://www.threads.net/@dosandaero_baby,dosandaero_baby
jjxxey,https://www.threads.net/@b_style95,b_style95
jjxxey,https://www.threads.net/@crown_s.h,crown_s.h
jjxxey,https://www.threads.net/@ha__rin1,ha__rin1
jjxxey,https://www.threads.net/@__zxi___h,__zxi___h
jjxxey,https://www.threads.net/@jingyowoon,jingyowoon
jjxxey,https://www.threads.net/@culture_bridger_,culture_bridger_
jjxxey,https://www.threads.net/@pacerskorea,pacerskorea
jjxxey,https://www.threads.net/@ogata_marito,ogata_marito
jjxxey,https://www.threads.net/@xs__.size,xs__.size
jjxxey,https://www.threads.net/@studian_official,studian_official
heejung_practice,https://www.threads.net/@adcd06_,adcd06_
heejung_practice,https://www.threads.net/@soyoung_ssam,soyoung_ssam
heejung_practice,https://www.threads.net/@ssssovely___,ssssovely___
heejung_practice,https://www.threads.net/@lurestyle_blackeagle,lurestyle_blackeagle
heejung_practice,https://www.threads.net/@ys1004486,ys1004486
heejung_practice,https://www.threads.net/@gjiwo_n99,gjiwo_n99
heejung_practice,https://www.threads.net/@nailbysso6657,nailbysso6657
heejung_practice,https://www.threads.net/@live_of_faith,live_of_faith
heejung_practice,https://www.threads.net/@noadnail,noadnail
heejung_practice,https://www.threads.net/@sumii6935,sumii6935
heejung_practice,https://www.threads.net/@wando_park93,wando_park93
heejung_practice,https://www.threads.net/@in_muu_yangjeong,in_muu_yangjeong
heejung_practice,https://www.threads.net/@domtic,domtic
heejung_practice,https://www.threads.net/@rozallllll,rozallllll
heejung_practice,https://www.threads.net/@cuteseo._.0,cuteseo._.0
heejung_practice,https://www.threads.net/@hyeongwonn,hyeongwonn
heejung_practice,https://www.threads.net/@s._.m228,s._.m228
heejung_practice,https://www.threads.net/@_luminousdaystar,_luminousdaystar
heejung_practice,https://www.threads.net/@leesohyun030701,leesohyun030701
heejung_practice,https://www.threads.net/@rotala__,rotala__
plainnn_,https://www.threads.net/@hunchaejeong,hunchaejeong
plainnn_,https://www.threads.net/@irimgnay,irimgnay
plainnn_,https://www.threads.net/@be_ur_roze,be_ur_roze
plainnn_,https://www.threads.net/@kim__seal,kim__seal
plainnn_,https://www.threads.net/@_namyung,_namyung
plainnn_,https://www.threads.net/@_csms_r_o,_csms_r_o
plainnn_,https://www.threads.net/@yudarlinn,yudarlinn
plainnn_,https://www.threads.net/@dbqudwo333,dbqudwo333
plainnn_,https://www.threads.net/@arelogicast,arelogicast
plainnn_,https://www.threads.net/@gr_ljh,gr_ljh
plainnn_,https://www.threads.net/@jde_luv,jde_luv
plainnn_,https://www.threads.net/@hwang_yesl,hwang_yesl
silent_bin_519,https://www.threads.net/@minhee477,minhee477
silent_bin_519,https://www.threads.net/@teetoo_twins_toon,teetoo_twins_toon
silent_bin_519,https://www.threads.net/@asyouare0529,asyouare0529
silent_bin_519,https://www.threads.net/@he11o_sweetiee,he11o_sweetiee
silent_bin_519,https://www.threads.net/@hojin__1025,hojin__1025
silent_bin_519,https://www.threads.net/@zhvpfmsltba,zhvpfmsltba
silent_bin_519,https://www.threads.net/@almond_tangerin,almond_tangerin
silent_bin_519,https://www.threads.net/@humming._.life,humming._.life
silent_bin_519,https://www.threads.net/@h3r0ran,h3r0ran
silent_bin_519,https://www.threads.net/@shining_eag1e,shining_eag1e
silent_bin_519,https://www.threads.net/@adhdmoonjuice,adhdmoonjuice
silent_bin_519,https://www.threads.net/@ganjunmo,ganjunmo
silent_bin_519,https://www.threads.net/@mun_mming,mun_mming
silent_bin_519,https://www.threads.net/@daainn_22,daainn_22
silent_bin_519,https://www.threads.net/@bopuri_toon,bopuri_toon
silent_bin_519,https://www.threads.net/@w_wn04,w_wn04
silent_bin_519,https://www.threads.net/@aspiring_future_pmhnp,aspiring_future_pmhnp
silent_bin_519,https://www.threads.net/@littleme_breaking,littleme_breaking
silent_bin_519,https://www.threads.net/@nakhwa0613_writer,nakhwa0613_writer
silent_bin_519,https://www.threads.net/@choitendo,choitendo
jinnykang123,https://www.threads.net/@da_vely_nail_,da_vely_nail_
jinnykang123,https://www.threads.net/@eomvely_09,eomvely_09
jinnykang123,https://www.threads.net/@hyunjung161222,hyunjung161222
jinnykang123,https://www.threads.net/@blueming_1997,blueming_1997
jinnykang123,https://www.threads.net/@95_wwookk_,95_wwookk_
jinnykang123,https://www.threads.net/@brandon.heo,brandon.heo
jinnykang123,https://www.threads.net/@health_hellsoo,health_hellsoo
jinnykang123,https://www.threads.net/@daily_emotion_lee,daily_emotion_lee
jinnykang123,https://www.threads.net/@forever_wilsongs,forever_wilsongs
jinnykang123,https://www.threads.net/@minj.un3,minj.un3
jinnykang123,https://www.threads.net/@k.junu,k.junu
jinnykang123,https://www.threads.net/@_soonbuem,_soonbuem
jinnykang123,https://www.threads.net/@gimyeongbin3496,gimyeongbin3496
jinnykang123,https://www.threads.net/@pauldho,pauldho
jinnykang123,https://www.threads.net/@prisoner_of_steelers,prisoner_of_steelers
jinnykang123,https://www.threads.net/@pulmeogneunsaja,pulmeogneunsaja
jinnykang123,https://www.threads.net/@k.h.s0509,k.h.s0509
jinnykang123,https://www.threads.net/@sang_joon_lee,sang_joon_lee
jinnykang123,https://www.threads.net/@bs.sssssssss,bs.sssssssss
jinnykang123,https://www.threads.net/@r_.boeun,r_.boeun
jinnykang123,https://www.threads.net/@kkksoaka,kkksoaka
wishandwind,https://www.threads.net/@pjhnet45,pjhnet45
wishandwind,https://www.threads.net/@jiyeon_jonny,jiyeon_jonny
wishandwind,https://www.threads.net/@dydhd.hdhsh,dydhd.hdhsh
wishandwind,https://www.threads.net/@yeongyeong_design,yeongyeong_design
wishandwind,https://www.threads.net/@si.wol_,si.wol_
wishandwind,https://www.threads.net/@jong.bbi,jong.bbi
wishandwind,https://www.threads.net/@smile_kooooooo,smile_kooooooo
wishandwind,https://www.threads.net/@cottoncandy_daily,cottoncandy_daily
wishandwind,https://www.threads.net/@black_chatter,black_chatter
wishandwind,https://www.threads.net/@everymoment_._._,everymoment_._._
wishandwind,https://www.threads.net/@dr.minjikim,dr.minjikim
wishandwind,https://www.threads.net/@mgy2xng,mgy2xng
wishandwind,https://www.threads.net/@nanananssw,nanananssw
wishandwind,https://www.threads.net/@nakhwa0613_writer,nakhwa0613_writer
wishandwind,https://www.threads.net/@meonji_toon_,meonji_toon_
myeonggu934,https://www.threads.net/@xgnoey,xgnoey
myeonggu934,https://www.threads.net/@leebdob_1,leebdob_1
myeonggu934,https://www.threads.net/@mmnnrrctstmom,mmnnrrctstmom
myeonggu934,https://www.threads.net/@namooo_1009,namooo_1009
myeonggu934,https://www.threads.net/@holy_boldy,holy_boldy
myeonggu934,https://www.threads.net/@apple3390,apple3390
myeonggu934,https://www.threads.net/@9ye_vely9,9ye_vely9
myeonggu934,https://www.threads.net/@blueberryapplemango,blueberryapplemango
myeonggu934,https://www.threads.net/@ddo_reee,ddo_reee
myeonggu934,https://www.threads.net/@rm.visualizer,rm.visualizer
myeonggu934,https://www.threads.net/@younvely_ovo,younvely_ovo
myeonggu934,https://www.threads.net/@dakjjijjisalsal,dakjjijjisalsal
myeonggu934,https://www.threads.net/@kayl0980,kayl0980
myeonggu934,https://www.threads.net/@zerobeack,zerobeack
myeonggu934,https://www.threads.net/@dakdolman_game,dakdolman_game
myeonggu934,https://www.threads.net/@keiky85,keiky85
myeonggu934,https://www.threads.net/@meonmoonh,meonmoonh
myeonggu934,https://www.threads.net/@gongboot_bbang,gongboot_bbang
myeonggu934,https://www.threads.net/@ssannai0317,ssannai0317
myeonggu934,https://www.threads.net/@supermk33,supermk33
chunhwa_love,https://www.threads.net/@the_modgu,the_modgu
chunhwa_love,https://www.threads.net/@jones_david_43,jones_david_43
chunhwa_love,https://www.threads.net/@gimseong.hyeon,gimseong.hyeon
chunhwa_love,https://www.threads.net/@shineu_sw,shineu_sw
chunhwa_love,https://www.threads.net/@newmarie1983,newmarie1983
chunhwa_love,https://www.threads.net/@and_wonyoung,and_wonyoung
chunhwa_love,https://www.threads.net/@bns_terry,bns_terry
chunhwa_love,https://www.threads.net/@bumwoooooo,bumwoooooo
chunhwa_love,https://www.threads.net/@taehyun2972,taehyun2972
chunhwa_love,https://www.threads.net/@lims_______________,lims_______________
chunhwa_love,https://www.threads.net/@murrayvi9188,murrayvi9188
chunhwa_love,https://www.threads.net/@physique_pharmwoo,physique_pharmwoo
chunhwa_love,https://www.threads.net/@0blivion______,0blivion______
